Soil No;%;%;%;;;%;mm;;`%;g/cm3;g/cm3;cm/hr;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;%;mm;mm;dS/m;;%;%;Cmole/kg;;mm;;%;;;;mm/h;%;;Yes/no;Yes/no;
Code;Clay;Silt;Sand;Texture Class;TextureCode;Gravel;dg;Sg;OC;Db;Dp;Ksat;WC_s;WC_i;FC;PWP;WC_r;WAS;MWD;GMD;EC;pH;Gypsum;CCE;CEC;SAR;DiscRedius;Instrument;Vegetation cover;Landuse (reported by data owners);Landuse (classifed);Landuse_Code;Rainfal intensity;Slope;Treatment;Crust;Sand contact layer;
85;19,165;25,366;55,469;SANDY LOAM;3;;0,107;15,535;0,683;1,377;2,525;6,546;0,499;0,123;;;;47,143;;;1,100;;;;;;;4;;Pasture;Pasture;3;;;;;;
86;19,954;25,171;54,875;SANDY LOAM;3;;0,102;15,922;0,753;1,418;2,538;5,990;0,540;0,121;;;;47,945;;;0,800;;;;;;;4;;Bare soil;Bare;6;;;;;;
87;17,605;28,223;54,173;SANDY LOAM;3;;0,107;14,565;0,780;1,385;2,525;6,444;0,508;0,121;;;;46,565;;;0,800;;;;;;;4;;Pasture;Pasture;3;;;;;;
88;12,849;25,873;61,278;SANDY LOAM;3;;0,163;12,249;1,017;1,354;2,242;8,248;0,519;0,133;;;;48,921;;;0,300;;;;;;;4;;Bare soil;Bare;6;;;;;;
89;15,732;24,110;60,159;SANDY LOAM;3;;0,142;13,853;1,755;1,354;2,252;8,991;0,491;0,130;;;;49,275;;;0,500;;;;;;;4;;Pasture;Pasture;3;;;;;;
90;12,908;26,465;60,626;SANDY LOAM;3;;0,158;12,280;1,755;1,385;2,262;7,846;0,500;0,131;;;;49,045;;;0,600;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
91;11,692;22,249;66,058;SANDY LOAM;3;;0,201;11,517;1,853;1,318;2,252;10,959;0,473;0,128;;;;67,213;;;0,600;;;;;;;4;;Pasture;Pasture;3;;;;;;
92;11,062;22,844;66,094;SANDY LOAM;3;;0,206;11,162;1,853;1,338;2,273;9,462;0,514;0,128;;;;67,606;;;0,500;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
93;13,563;20,120;66,316;SANDY LOAM;3;;0,191;12,585;1,853;1,296;2,262;12,729;0,474;0,125;;;;68,519;;;0,600;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
94;11,956;34,211;53,834;SANDY LOAM;3;;0,127;11,615;0,585;1,368;2,513;6,979;0,553;0,132;;;;51,930;;;0,500;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
95;14,587;31,844;53,569;SANDY LOAM;3;;0,116;12,931;0,713;1,369;2,525;6,814;0,560;0,132;;;;51,246;;;0,600;;;;;;;4;;Bare soil;Bare;6;;;;;;
96;14,044;32,637;53,319;SANDY LOAM;3;;0,117;12,637;0,811;1,391;2,551;6,761;0,536;0,131;;;;51,351;;;0,500;;;;;;;4;;Bare soil;Bare;6;;;;;;
97;10,998;9,615;79,387;SANDY LOAM;3;;0,336;10,080;0,887;1,315;2,538;4,345;0,472;0,124;;;;52,273;;;0,600;;;;;;;4;;Bare soil;Bare;6;;;;;;
98;11,690;8,922;79,388;SANDY LOAM;3;;0,328;10,496;0,859;1,293;2,525;4,567;0,501;0,125;;;;53,571;;;0,700;;;;;;;4;;Bare soil;Bare;6;;;;;;
99;13,479;6,984;79,537;SANDY LOAM;3;;0,312;11,588;0,966;1,305;2,551;4,386;0,472;0,124;;;;52,252;;;0,500;;;;;;;4;;Bare soil;Bare;6;;;;;;
100;22,730;42,514;34,756;LOAM;6;;0,044;13,613;1,950;1,378;2,273;3,553;0,531;0,134;;;;90,970;;;0,800;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
101;21,753;42,028;36,219;LOAM;6;;0,048;13,599;1,096;1,384;2,273;3,280;0,494;0,133;;;;91,246;;;1,100;;;;;;;4;;Bare soil;Bare;6;;;;;;
102;23,945;41,860;34,195;LOAM;6;;0,042;13,912;1,853;1,398;2,283;2,980;0,524;0,133;;;;91,864;;;0,900;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
103;14,235;22,234;63,531;SANDY LOAM;3;;0,169;13,026;0,683;1,311;2,525;11,489;0,502;0,114;;;;66,146;;;0,400;;;;;;;4;;Pasture;Pasture;3;;;;;;
104;16,891;19,923;63,186;SANDY LOAM;3;;0,153;14,595;0,683;1,197;2,551;48,603;0,550;0,114;;;;67,105;;;0,300;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
105;16,125;20,689;63,186;SANDY LOAM;3;;0,157;14,136;0,683;1,311;2,564;12,361;0,529;0,114;;;;66,875;;;0,800;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
106;18,321;27,930;53,749;SANDY LOAM;3;;0,103;14,914;0,585;1,207;2,525;12,290;0,539;0,122;;;;53,556;;;0,500;;;;;;;4;;Pasture;Pasture;3;;;;;;
107;15,476;29,606;54,918;SANDY LOAM;3;;0,118;13,479;0,683;1,412;2,538;3,842;0,450;0,131;;;;53,585;;;0,900;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
108;16,525;29,931;53,544;SANDY LOAM;3;;0,109;13,938;0,683;1,422;2,513;3,208;0,480;0,129;;;;54,626;;;0,300;;;;;;;4;;Pasture;Pasture;3;;;;;;
109;23,834;39,875;36,291;LOAM;6;;0,045;14,414;0,780;1,393;2,500;4,968;0,494;0,134;;;;82,353;;;0,500;;;;;;;4;;Pasture;Pasture;3;;;;;;
110;11,762;48,009;40,229;LOAM;6;;0,078;10,393;0,683;1,356;2,525;6,731;0,525;0,133;;;;82,022;;;0,400;;;;;;;4;;Pasture;Pasture;3;;;;;;
111;15,603;44,884;39,514;LOAM;6;;0,067;11,822;0,488;1,370;2,538;5,590;0,531;0,133;;;;81,395;;;0,800;;;;;;;4;;Pasture;Pasture;3;;;;;;
112;16,577;38,638;44,785;LOAM;6;;0,079;13,013;0,780;1,356;2,488;4,021;0,477;0,140;;;;90,909;;;0,900;;;;;;;4;;Pasture;Pasture;3;;;;;;
113;13,966;40,471;45,563;LOAM;6;;0,088;11,935;0,878;1,351;2,500;4,581;0,498;0,137;;;;89,202;;;1,100;;;;;;;4;;Pasture;Pasture;3;;;;;;
114;14,734;40,481;44,785;LOAM;6;;0,083;12,187;1,014;1,358;2,513;3,273;0,456;0,140;;;;88,789;;;1,100;;;;;;;4;;Bare soil;Bare;6;;;;;;
115;17,747;27,137;55,115;SANDY LOAM;3;;0,111;14,719;0,683;1,303;2,500;8,688;0,575;0,130;;;;84,181;;;1,000;;;;;;;4;;Pasture;Pasture;3;;;;;;
116;20,400;25,186;54,415;SANDY CLAY LOAM;4;;0,099;16,125;0,923;1,475;2,500;1,395;0,558;0,137;;;;85,556;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
117;19,650;25,422;54,927;SANDY LOAM;3;;0,103;15,757;0,794;1,354;2,488;8,535;0,570;0,129;;;;85,083;;;0,300;;;;;;;4;;Bare soil;Bare;6;;;;;;
118;25,146;34,544;40,310;LOAM;6;;0,050;15,960;0,975;1,312;2,451;5,657;0,510;0,128;;;;76,647;;;0,300;;;;;;;4;;Pasture;Pasture;3;;;;;;
119;27,972;32,940;39,088;CLAY LOAM;9;;0,044;16,832;0,975;1,404;2,463;1,999;0,523;0,133;;;;77,246;;;1,000;;;;;;;4;;Pasture;Pasture;3;;;;;;
120;27,162;32,949;39,889;CLAY LOAM;9;;0,046;16,715;0,975;1,411;2,439;1,605;0,533;0,134;;;;77,457;;;0,700;;;;;;;4;;Pasture;Pasture;3;;;;;;
121;16,611;30,104;53,284;SANDY LOAM;3;;0,107;13,962;0,878;1,321;2,475;8,400;0,529;0,126;;;;51,786;;;0,600;;;;;;;4;;Pasture;Pasture;3;;;;;;
