Soil No;%;%;%;;;%;mm;;`%;g/cm3;g/cm3;cm/hr;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;%;mm;mm;dS/m;;%;%;Cmole/kg;;mm;;%;;;;mm/h;%;;Yes/no;Yes/no;
Code;Clay;Silt;Sand;Texture Class;TextureCode;Gravel;dg;Sg;OC;Db;Dp;Ksat;WC_s;WC_i;FC;PWP;WC_r;WAS;MWD;GMD;EC;pH;Gypsum;CCE;CEC;SAR;DiscRedius;Instrument;Vegetation cover;Landuse (reported by data owners);Landuse (classifed);Landuse_Code;Rainfal intensity;Slope;Treatment;Crust;Sand contact layer;
3074;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,31;;;;0,177;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3075;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,31;;;;0,177;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3076;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,31;;;;0,177;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3077;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,31;;;;0,177;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3078;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,42;;;;0,189;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3079;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,42;;;;0,189;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3080;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,42;;;;0,189;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3081;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,42;;;;0,189;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3082;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,42;;;;0,189;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3083;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,42;;;;0,189;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3084;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,511;;;;0,0958;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3085;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,511;;;;0,0958;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3086;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,511;;;;0,0958;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3087;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,511;;;;0,0958;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3088;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,511;;;;0,0958;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3089;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,511;;;;0,0958;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3090;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,48;;;;0,22;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3091;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,48;;;;0,22;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3092;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,48;;;;0,22;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3093;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,48;;;;0,22;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3094;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,48;;;;0,22;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3095;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,48;;;;0,22;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3096;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,42;;;;;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3097;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,42;;;;;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3098;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,42;;;;;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3099;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,42;;;;;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3100;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,42;;;;;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3101;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,42;;;;;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3102;;;;;;; ; ;;1,082;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3103;;;;;;; ; ;;1,082;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3104;;;;;;; ; ;;1,082;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3105;;;;;;; ; ;;1,082;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3106;;;;;;; ; ;;1,082;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3107;;;;;;; ; ;;1,082;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3108;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3109;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3110;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3111;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3112;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3113;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3114;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3115;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3116;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3117;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3118;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3119;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3120;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,447;;;;0,2601;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3121;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,447;;;;0,2601;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3122;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,447;;;;0,2601;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3123;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,447;;;;0,2601;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3124;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,447;;;;0,2601;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3125;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,447;;;;0,2601;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3126;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,3;;;;0,298;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3127;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,3;;;;0,298;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3128;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,3;;;;0,298;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3129;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,3;;;;0,298;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3130;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,3;;;;0,298;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3131;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,3;;;;0,298;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3132;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,28;;;;0,193;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3133;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,28;;;;0,193;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3134;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,28;;;;0,193;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3135;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,28;;;;0,193;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3136;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,28;;;;0,193;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3137;36,70;60,20;3,10;SILTY CLAY LOAM;10;;0,009;5,889;0,58;1,28;;;;0,193;;;;;;;;;;0,1;;;40;12;;Cultivated;Agriculture;1;;;;;;
3138;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3139;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3140;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3141;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3142;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3143;;;;;;; ; ;;;;;;;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3144;;;;;;; ; ;;1,18;;;;0,191;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3145;;;;;;; ; ;;1,18;;;;0,191;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3146;;;;;;; ; ;;1,18;;;;0,191;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3147;;;;;;; ; ;;1,18;;;;0,191;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3148;;;;;;; ; ;;1,18;;;;0,191;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3149;;;;;;; ; ;;1,18;;;;0,191;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3150;;;;;;; ; ;;1,27;;;;0,149;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3151;;;;;;; ; ;;1,27;;;;0,149;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3152;;;;;;; ; ;;1,27;;;;0,149;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3153;;;;;;; ; ;;1,27;;;;0,149;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3154;;;;;;; ; ;;1,27;;;;0,149;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3155;;;;;;; ; ;;1,27;;;;0,149;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3156;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,394;;;;0,2975;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3157;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,394;;;;0,2975;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3158;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,394;;;;0,2975;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3159;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,394;;;;0,2975;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3160;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,394;;;;0,2975;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3161;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,394;;;;0,2975;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3162;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,41;;;;0,299;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3163;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,41;;;;0,299;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3164;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,41;;;;0,299;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3165;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,41;;;;0,299;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3166;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,41;;;;0,299;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3167;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,41;;;;0,299;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3168;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,43;;;;0,28;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3169;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,43;;;;0,28;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3170;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,43;;;;0,28;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3171;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,43;;;;0,28;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3172;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,43;;;;0,28;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3173;31,30;46,80;21,90;CLAY LOAM;9;;0,021;12,141;0,57;1,43;;;;0,28;;;;;;;;8,4;;47,2;16,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3174;;;;;;; ; ;;1,28;;;;0,245;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3175;;;;;;; ; ;;1,28;;;;0,245;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3176;;;;;;; ; ;;1,28;;;;0,245;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3177;;;;;;; ; ;;1,28;;;;0,245;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3178;;;;;;; ; ;;1,28;;;;0,245;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3179;;;;;;; ; ;;1,28;;;;0,245;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3180;;;;;;; ; ;;1,41;;;;0,22;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3181;;;;;;; ; ;;1,41;;;;0,22;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3182;;;;;;; ; ;;1,41;;;;0,22;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3183;;;;;;; ; ;;1,41;;;;0,22;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3184;;;;;;; ; ;;1,41;;;;0,22;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3185;;;;;;; ; ;;1,41;;;;0,22;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3186;;;;;;; ; ;;1,36;;;;0,213;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3187;;;;;;; ; ;;1,36;;;;0,213;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3188;;;;;;; ; ;;1,36;;;;0,213;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3189;;;;;;; ; ;;1,36;;;;0,213;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3190;;;;;;; ; ;;1,36;;;;0,213;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3191;;;;;;; ; ;;1,36;;;;0,213;;;;;;;;;;;;;40;12;;Cultivated;Agriculture;1;;;;;;
3192;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,41;;;;0,313;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3193;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,41;;;;0,313;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3194;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,41;;;;0,313;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3195;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,41;;;;0,313;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3196;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,41;;;;0,313;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3197;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,41;;;;0,313;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3198;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,5;;;;0,319;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3199;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,5;;;;0,319;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3200;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,5;;;;0,319;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3201;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,5;;;;0,319;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3202;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,5;;;;0,319;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3203;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,35;;;;0,274;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3204;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,35;;;;0,274;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3205;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,35;;;;0,274;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3206;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,35;;;;0,274;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3207;18,10;78,30;3,60;SILTY LOAM;7;;0,016;4,404;1,03;1,35;;;;0,274;;;;;;;;7,4;;0,1;15,0;;40;12;;Cultivated;Agriculture;1;;;;;;
3208;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,45;;;;0,297;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3209;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,45;;;;0,297;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3210;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,45;;;;0,297;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3211;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,45;;;;0,297;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3212;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,45;;;;0,297;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3213;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,45;;;;0,297;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3214;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,47;;;;0,302;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3215;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,47;;;;0,302;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3216;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,47;;;;0,302;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3217;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,47;;;;0,302;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3218;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,47;;;;0,302;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3219;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,47;;;;0,302;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3220;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,44;;;;0,288;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3221;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,44;;;;0,288;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3222;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,44;;;;0,288;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3223;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,44;;;;0,288;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3224;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,44;;;;0,288;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3225;18,40;78,40;3,20;SILTY LOAM;7;;0,016;4,338;0,36;1,44;;;;0,288;;;;;;;;7,3;;0,1;13,4;;40;12;;Cultivated;Agriculture;1;;;;;;
3226;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,43;;;;0,321;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3227;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,43;;;;0,321;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3228;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,43;;;;0,321;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3229;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,43;;;;0,321;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3230;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,43;;;;0,321;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3231;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,43;;;;0,321;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3232;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,47;;;;0,305;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3233;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,47;;;;0,305;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3234;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,47;;;;0,305;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
3235;30,30;67,60;2,10;SILTY CLAY LOAM;10;;0,010;5,127;0,41;1,47;;;;0,305;;;;;;;;7,7;;0,3;19,9;;40;12;;Cultivated;Agriculture;1;;;;;;
