Code;S (cm/h^0.5);Ks (cm/hr);A (cm/hr^1.5 for 1D and cm/hr for 3D);R2;RMSE (cm);Included = 1, Excluded = 0;1D = 1, 3D =3
4495;7,9E-01;1,8E+00;1,9E-01;0,993;0,106;1;1
4496;8,7E-01;2,0E+00;3,0E-11;0,985;0,136;1;1
4497;4,1E-06;7,5E+00;2,2E+01;1,000;0,146;1;3
4498;8,8E-01;4,5E+00;1,7E+01;1,000;0,206;1;3
4499;2,7E-01;7,2E+00;1,2E+01;0,999;0,126;1;3
4500;2,9E-01;5,2E+00;6,1E+00;0,999;0,060;1;3
4501;5,2E-01;1,9E-05;8,1E+00;0,999;0,073;1;3
4502;7,6E-01;5,7E+00;5,1E+00;0,999;0,072;1;3
4503;4,3E-06;6,0E+00;5,8E+00;0,998;0,077;1;3
4504;1,4E+00;3,9E+00;1,6E+00;0,997;0,050;1;3
4505;7,1E-01;1,1E-01;2,6E+00;0,998;0,020;1;3
4506;5,9E+00;2,0E+00;3,4E+00;0,999;0,177;1;3
4507;3,3E+00;1,2E+00;1,6E+00;0,999;0,103;1;3
4508;2,8E+00;1,3E+00;1,7E+00;0,999;0,097;1;3
4509;7,7E+00;3,1E+00;5,5E+00;0,999;0,247;1;3
4510;1,1E+01;2,6E+01;3,3E-04;0,999;0,726;1;3
4511;5,0E+00;2,1E+00;3,4E+00;0,999;0,168;1;3
4512;1,8E+00;7,8E-01;8,8E-01;0,998;0,061;1;3
4513;9,1E+00;5,3E+00;5,0E+00;0,999;0,403;1;3
4514;2,8E+00;1,2E+00;1,6E+00;0,999;0,099;1;3
4515;2,8E+00;1,0E+00;1,4E+00;0,999;0,089;1;3
4516; ; ; ; ; ;0; 
4517;3,0E+00;1,1E+01;1,9E+00;0,991;0,908;1;3
4518;3,9E+00;1,0E+01;9,9E-01;0,995;4,288;1;3
4519; ; ; ; ; ;0; 
4520; ; ; ; ; ;0; 
4521;2,6E+00;1,1E-05;1,2E-05;0,951;0,064;1;1
4522;2,3E+00;1,6E-04;1,6E-04;0,974;0,040;1;1
4523;4,8E+00;3,7E-07;4,1E-07;0,934;0,134;1;1
4524;2,1E-11;3,3E+02;2,9E+01;0,998;1,022;1;1
4525;1,9E-08;3,6E+02;2,2E-14;0,992;1,785;1;1
4526;2,5E+01;2,5E-14;1,1E+01;0,995;0,623;1;1
4527;2,3E+01;6,8E+01;9,3E+00;0,995;0,915;1;1
4528;1,5E+01;8,9E+01;1,6E-12;0,999;0,442;1;1
4529;2,2E+01;9,5E+01;1,2E-07;0,995;0,986;1;1
4530;1,6E-01;2,2E-14;2,2E-14;0,826;0,117;1;3
4531; ; ; ; ; ;0; 
4532;2,5E-01;2,7E+00;5,5E+00;0,998;0,359;1;3
4533;6,4E-01;7,3E-04;2,6E+00;1,000;2,050;1;3
4534;6,9E-05;4,9E-02;1,5E-01;0,993;0,029;1;3
4535;1,7E+00;8,5E-01;9,6E-01;0,990;0,169;1;3
4536;2,0E+00;1,5E-01;1,5E-01;0,974;0,609;1;3
4537;2,4E+00;1,8E+00;2,7E+00;0,999;0,565;1;3
4538;1,7E+00;2,9E-01;2,9E-01;0,992;0,067;1;3
4539;5,4E+01;1,3E+02;1,5E+00;0,997;2,335;1;3
4540;4,8E+01;5,6E+00;3,5E+01;0,997;0,776;1;3
4541;3,3E+01;1,2E-10;6,5E-11;0,996;0,371;1;3
4542;4,8E+01;1,4E+02;5,0E+01;0,994;4,825;1;3
4543;2,1E+01;4,1E-14;2,0E-12;0,919;1,291;1;3
4544;3,0E+01;3,3E+00;3,1E+01;0,999;4,116;1;3
4545;2,1E+01;6,2E+00;5,7E-01;0,996;0,585;1;3
4546;4,0E+01;5,9E-11;3,3E-12;0,972;2,262;1;3
4547;4,6E+01;1,1E-11;4,3E-10;0,987;1,291;1;3
4548;3,5E+01;4,5E+00;9,0E+00;0,998;0,636;1;3
4549;5,3E+01;5,2E-12;5,5E-13;0,963;1,718;1;3
4550;4,0E+01;2,4E-10;2,5E-11;0,953;1,634;1;3
4551;2,0E+01;2,5E+02;6,2E+01;0,996;3,258;1;3
4552;2,7E+01;5,1E-09;9,0E-10;0,986;0,568;1;3
4553;1,8E+01;2,0E-12;1,0E-13;0,941;0,972;1;3
4554;6,4E+00;1,3E-06;1,9E-06;0,958;0,337;1;3
4555;5,8E+00;7,5E-14;2,3E-14;0,891;0,528;1;3
4556;1,5E+00;9,3E-06;9,3E-06;0,810;0,142;1;3
4557;4,0E+00;3,0E-14;1,9E-13;0,794;0,527;1;3
4558;9,0E+00;3,5E+00;5,8E-01;0,978;0,427;1;3
4559;3,2E+01;1,1E-11;1,2E-12;0,898;2,194;1;3
4560;1,9E+01;2,4E-13;1,7E-11;0,948;1,016;1;3
4561;6,1E+01;2,2E-14;2,2E-14;0,927;2,978;1;3
4562;3,4E+01;2,2E-14;2,2E-14;0,911;2,305;1;3
4563;4,8E+01;2,5E-11;2,6E-12;0,920;2,546;1;3
4564;1,5E+01;8,9E-02;1,2E+02;1,000;2,899;1;3
4565;8,7E+00;9,0E-06;2,0E-07;0,992;0,216;1;3
4566;6,7E+00;9,7E-07;1,5E-06;0,987;0,238;1;3
4567;2,4E-04;2,4E-04;2,4E-04; ;0,000;1;3
4568;5,5E+00;3,5E-07;5,1E-07;0,933;0,390;1;3
4569;1,1E+00;3,8E-10;3,8E-10;0,995;0,140;1;3
4570;8,8E-01;2,3E-02;2,3E-02;0,996;0,146;1;3
4571;8,1E-01;4,8E-02;4,8E-02;0,998;0,177;1;3
4572;1,1E+00;6,0E-02;6,0E-02;0,997;0,204;1;3
4573;1,2E+00;3,9E-02;3,9E-02;0,998;0,170;1;3
4574;1,3E+00;1,4E-13;1,4E-13;0,994;0,210;1;3
4575;1,1E+00;2,2E-02;2,2E-02;0,994;0,193;1;3
4576;1,6E+00;9,7E-03;9,7E-03;0,999;0,094;1;3
4577;6,8E-01;1,7E-02;1,7E-02;0,999;0,081;1;3
4578;3,6E-01;4,2E-02;4,2E-02;0,998;0,142;1;3
4579;4,2E-01;1,2E-02;1,2E-02;0,995;0,073;1;3
4580;4,3E-01;2,6E-02;2,6E-02;0,998;0,102;1;3
4581;7,6E-01;1,7E-09;1,7E-09;0,998;0,052;1;3
4582;8,5E-01;2,6E-08;2,6E-08;0,996;0,088;1;3
4583;8,5E-01;1,4E-02;1,4E-02;0,999;0,075;1;3
4584;9,7E-01;2,5E-02;2,5E-02;0,996;0,161;1;3
4585;9,0E-01;4,9E-02;4,9E-02;0,999;0,169;1;3
4586;9,8E-01;5,0E-02;5,0E-02;0,998;0,199;1;3
4587; ; ; ; ; ;0; 
4588; ; ; ; ; ;0; 
4589; ; ; ; ; ;0; 
4590; ; ; ; ; ;0; 
4591; ; ; ; ; ;0; 
4592; ; ; ; ; ;0; 
4593; ; ; ; ; ;0; 
4594; ; ; ; ; ;0; 
4595; ; ; ; ; ;0; 
4596; ; ; ; ; ;0; 
4597; ; ; ; ; ;0; 
4598; ; ; ; ; ;0; 
4599; ; ; ; ; ;0; 
4600; ; ; ; ; ;0; 
4601; ; ; ; ; ;0; 
4602; ; ; ; ; ;0; 
4603; ; ; ; ; ;0; 
4604; ; ; ; ; ;0; 
4605; ; ; ; ; ;0; 
4606;1,1E+01;2,9E-01;3,5E-02;0,995;0,306;1;3
4607;8,7E+00;2,2E-01;3,7E-01;0,995;0,222;1;3
4608;3,9E+00;6,7E-01;9,4E-01;0,997;0,124;1;3
4609;3,5E+00;5,4E-01;7,2E-01;0,998;0,101;1;3
4610;7,0E+00;5,4E-01;9,0E-01;0,996;0,189;1;3
4611;5,3E+00;5,5E-01;8,2E-01;0,997;0,135;1;3
4612; ; ; ; ; ;0; 
4613;9,7E-03;2,6E-02;2,8E-02;1,000;0,001;1;3
4614;7,5E-03;4,6E-02;4,6E-02;0,999;0,001;1;3
4615;8,3E-03;6,3E-03;6,3E-03;0,998;0,000;1;3
4616;3,4E+01;4,9E+01;2,6E-14;0,997;2,201;1;1
4617;2,0E+01;3,3E+01;3,0E-10;0,997;1,295;1;1
4618;3,4E+01;5,5E+01;3,6E-11;0,999;1,377;1;1
4619;3,4E+01;1,8E+00;2,1E-12;0,997;1,198;1;1
4620; ; ; ; ; ;0; 
4621;2,7E+01;1,1E-09;1,4E-09;0,998;0,482;1;1
4622;1,4E+01;4,1E-09;4,9E-02;0,998;0,265;1;1
4623;1,9E+01;2,4E-08;5,7E-11;0,990;1,720;1;1
4624;2,3E+01;3,4E+00;6,5E+00;0,994;1,508;1;3
4625;2,4E+01;1,1E+01;2,2E+01;1,000;1,823;1;3
4626;1,8E+00;1,1E-11;1,1E-11;0,973;0,235;1;3
4627;7,8E+00;7,4E+00;2,6E+00;0,999;0,809;1;3
4628;1,4E+00;5,1E-08;5,1E-08;0,972;0,207;1;3
4629;6,4E+00;2,2E-14;2,2E-14;0,973;0,649;1;3
4630;5,1E+00;9,8E-02;1,3E-01;0,989;0,324;1;3
4631;1,5E+01;1,3E+00;2,3E+00;1,000;0,171;1;3
4632;2,5E+00;1,7E+00;2,6E+00;1,000;0,315;1;3
4633;5,8E+00;2,0E+01;1,2E-02;1,000;0,123;1;3
4634; ; ; ; ; ;0; 
4635; ; ; ; ; ;0; 
4636; ; ; ; ; ;0; 
4637; ; ; ; ; ;0; 
4638; ; ; ; ; ;0; 
4639; ; ; ; ; ;0; 
4640; ; ; ; ; ;0; 
4641; ; ; ; ; ;0; 
4642; ; ; ; ; ;0; 
4643; ; ; ; ; ;0; 
4644; ; ; ; ; ;0; 
4645; ; ; ; ; ;0; 
4646; ; ; ; ; ;0; 
4647; ; ; ; ; ;0; 
4648; ; ; ; ; ;0; 
4649; ; ; ; ; ;0; 
4650; ; ; ; ; ;0; 
4651; ; ; ; ; ;0; 
4652; ; ; ; ; ;0; 
4653; ; ; ; ; ;0; 
4654; ; ; ; ; ;0; 
4655; ; ; ; ; ;0; 
4656; ; ; ; ; ;0; 
4657; ; ; ; ; ;0; 
4658; ; ; ; ; ;0; 
4659; ; ; ; ; ;0; 
4660; ; ; ; ; ;0; 
4661; ; ; ; ; ;0; 
4662; ; ; ; ; ;0; 
4663; ; ; ; ; ;0; 
4664; ; ; ; ; ;0; 
4665; ; ; ; ; ;0; 
4666; ; ; ; ; ;0; 
4667; ; ; ; ; ;0; 
4668; ; ; ; ; ;0; 
4669; ; ; ; ; ;0; 
4670; ; ; ; ; ;0; 
4671; ; ; ; ; ;0; 
4672; ; ; ; ; ;0; 
4673; ; ; ; ; ;0; 
4674; ; ; ; ; ;0; 
4675; ; ; ; ; ;0; 
4676; ; ; ; ; ;0; 
4677; ; ; ; ; ;0; 
4678; ; ; ; ; ;0; 
4679; ; ; ; ; ;0; 
4680; ; ; ; ; ;0; 
4681; ; ; ; ; ;0; 
4682; ; ; ; ; ;0; 
4683; ; ; ; ; ;0; 
4684;5,9E+00;3,3E+02;1,8E+02;0,972;0,625;1;3
4685;6,8E+00;4,3E+01;3,7E+01;0,999;0,761;1;3
4686;4,2E-12;4,8E+00;2,0E+01;0,998;0,678;1;3
4687;1,5E+00;2,5E-06;2,5E-06;0,987;0,034;1;3
4688;1,7E-11;1,6E+01;3,6E+00;0,957;3,617;1;3
4689;9,1E+00;4,2E+00;7,9E+00;0,999;1,878;1;3
4690; ; ; ; ; ;0; 
4691;4,6E+00;1,2E-01;1,3E-01;0,997;0,254;1;3
4692;2,1E+00;4,6E-09;4,6E-09;0,900;0,583;1;3
4693; ; ; ; ; ;0; 
4694;3,6E+01;2,2E-14;2,2E-14;0,976;11,968;1;3
4695;6,6E+01;2,2E-14;2,2E-14;0,970;24,842;1;3
4696;9,4E+01;2,2E-14;2,2E-14;0,825;82,816;1;3
4697;1,3E+02;2,2E-14;2,2E-14;0,880;98,948;1;3
4698;5,6E+01;2,2E-14;2,2E-14;0,821;47,994;1;3
4699;8,0E+01;2,2E-14;2,2E-14;0,917;47,505;1;3
4700;9,5E+01;2,2E-14;2,2E-14;0,862;70,485;1;3
4701;2,7E+01;1,1E+01;2,3E+01;1,000;1,981;1;3
4702;1,2E+01;2,1E+01;3,2E+00;1,000;3,540;1;3
4703;5,6E+00;9,2E+00;2,1E+00;1,000;1,735;1;3
4704;1,5E+01;5,8E-07;7,4E-01;0,996;0,480;1;1
